Ocean_blue,Blue,Green1,Green,Yellow,Red,RedEdge,NIR,NDVI,GNDVI,EVI,SAVI,NDRE,MSAVI,DVI,RVI,ARVI,VARI,TVI,GEMI,PC_Ocean_blue,PC_Blue,PC_Green1,PC_Green,PC_Yellow,PC_Red,PC_RedEdge,PC_NIR,PC_NDVI,PC_GNDVI,PC_EVI,PC_SAVI,PC_NDRE,PC_MSAVI,PC_DVI,PC_RVI,PC_ARVI,PC_VARI,PC_TVI,PC_GEMI,VV,VH,VV/VH,VH/VV,VV-VH,(VV+VH)/2,VH-VV,TanDEM Canopy height (m),AGB(kg/9 sq.m)
205,234,499,635,499,358,1121,3726,0.824681685,0.708782389,2.04368932,1.236871098,0.537445843,0.903906755,3368,10.40782123,0.770912548,0.364953887,213160,-11338667.32,49257.49609,-1236.834961,120.941452,-114.9000549,60.04994965,29.79854774,19.00127411,9.297208786,9264224,36886.39063,26296.67969,40.33568954,-0.633576632,-0.00966461,-0.018638976,-0.026313763,-0.004730046,-0.006948672,9.65E-05,-6.65E-09,-7.75027,-12.966,0.597737,1.67298,5.21574,-10.3581,-5.21574,5.36575,68.6358
186,245,488,599,516,376,1080,3936,0.825602968,0.735832415,2.043393411,1.23826087,0.56937799,0.904460568,3560,10.46808511,0.771775827,0.305479452,222520,-12668570.51,49313.41406,-1423.001587,133.1797333,-99.26868439,153.6985779,30.28859711,-17.63280487,10.87428474,10593986,52121.83594,41022.21094,108.6556168,0.319791406,-0.231824279,0.082193017,-0.029754631,-0.00288676,-0.015220731,-2.69E-05,4.24E-09,-7.91955,-13.4292,0.589727,1.6957,5.50963,-10.6744,-5.50963,3.75426,134.74161
159,284,504,635,545,376,1192,3780,0.819056785,0.712344281,2.178141797,1.228437387,0.520514883,0.900517251,3404,10.05319149,0.779661017,0.356258597,214600,-11582418.04,49328.42969,-1272.358276,130.1720276,-65.27924347,38.45741272,-32.258358,-22.24077797,-4.105579853,9507942,39786.6875,29249.07617,58.28520966,0.006604327,-0.250517577,0.017478384,0.004770004,0.004305842,0.003740863,0.000241919,-4.58E-09,-7.5199,-12.1149,0.620715,1.61104,4.59499,-9.8174,-4.59499,5.36575,75.92229
224,243,512,681,555,381,1166,3389,0.797877984,0.665356265,1.951472687,1.196658268,0.488035126,0.887562733,3008,8.895013123,0.734390993,0.366300366,192480,-9043856.039,49207.48828,-906.4672852,121.1882401,-94.74794006,-38.78077316,34.96389389,20.55808258,-2.49870038,6969558.5,12370.57227,5052.906738,-30.37228203,-0.591545403,0.138009816,-0.058040127,-0.004490801,-0.006631435,-0.002917449,0.000145131,-2.71E-09,-7.14029,-16.5229,0.432146,2.31403,9.38256,-11.8316,-9.38256,3.56399,70.14744
187,207,469,576,442,351,1027,3441,0.814873418,0.71321882,1.933425103,1.222148978,0.540286482,0.897981457,3090,9.803418803,0.74847561,0.3125,194400,-9543751.089,49049.38281,-1007.150818,78.62919617,-122.5623093,72.59552765,37.2181015,39.79708862,24.52375031,7469366,18723.21289,12057.93652,31.90198135,-1.693674684,0.165857956,-0.030856153,-0.034506984,0.001489177,-0.016828693,-5.05E-05,-4.06E-09,-9.66918,-15.9008,0.608094,1.64448,6.23163,-12.785,-6.23163,6.16698,112.68504
139,253,479,613,520,372,1083,3436,0.804621849,0.697209187,2.03102214,1.206774321,0.520690418,0.891720525,3064,9.23655914,0.749936338,0.329234973,193480,-9383799.375,49118.24219,-975.3834839,122.6296005,-82.7173233,46.72589111,-14.93004608,-7.345664978,-1.71597743,7309434,16810.22656,10097.63281,17.33554459,-0.996478021,0.013213187,-0.018991865,-0.012033341,0.003868367,-0.003340501,0.000135344,1.51E-08,-8.58076,-15.342,0.5593,1.78795,6.7612,-11.9614,-6.7612,5.85694,108.98343
127,227,469,560,488,358,1082,3236,0.800779076,0.704952582,1.953835709,1.20100153,0.498842057,0.889354388,2878,9.039106145,0.737449664,0.292329957,180760,-8278853.73,48992.46875,-820.2791138,82.20977783,-64.20706177,-0.362877816,-18.28549194,1.269432068,26.49004745,6204497.5,6087.788574,2409.896973,16.90250778,-1.929541349,0.135302767,-0.034418091,0.000498341,0.0121817,-0.01249321,5.42E-06,-2.89E-08,-9.32944,-15.4889,0.602332,1.66021,6.15943,-12.4092,-6.15943,7.48924,129.54294
204,256,508,660,513,364,1106,3550,0.814001022,0.686460808,2.087811271,1.220845574,0.524914089,0.897451826,3186,9.752747253,0.7652909,0.385416667,203000,-10146113.36,49213.5625,-1064.138672,121.1744919,-128.7891083,40.18924332,17.45133209,19.8809967,-2.08165741,8071757.5,23916.30664,14716.99316,-1.158771396,-0.775525928,0.008925747,-0.043909043,-0.020373013,-0.003966268,0.002613844,0.000225537,1.30E-08,-7.75553,-13.9163,0.557297,1.79437,6.16079,-10.8359,-6.16079,7.14199,246.5334
178,271,536,669,556,374,1152,3625,0.812953238,0.688402422,2.117915309,1.21927741,0.517688926,0.896814822,3251,9.692513369,0.767430522,0.382124352,206860,-10564428.61,49285.46094,-1118.087646,150.1098175,-104.1370773,28.99888039,-11.61619854,-8.563346863,10.23290539,8490049,28349.90039,18506.45898,9.597027779,-0.299816757,-0.082052343,-0.025811655,-0.009577538,-0.002723873,0.005475155,0.000267272,-8.38E-09,-8.6589,-16.0633,0.539049,1.85512,7.40438,-12.3611,-7.40438,6.242,152.12817
234,265,483,646,574,420,1115,2966,0.751919669,0.642303433,1.818831262,1.127712978,0.453565303,0.858374651,2546,7.061904762,0.675232985,0.282147316,161800,-6478612.797,49042.33203,-513.9362793,64.45487976,-67.10197449,-58.66521835,44.31315994,10.57187176,-14.19052315,4404311,-12072.41602,-11737.58105,-42.29579544,-0.781030774,0.142801523,-0.016324958,0.018887991,-0.000495981,-0.004392719,0.000113828,1.14E-08,-9.1222,-14.5909,0.625199,1.59949,5.46867,-11.8565,-5.46867,5.08034,102.6495
238,305,536,676,608,443,1150,3252,0.760216509,0.655804481,1.938043328,1.140170478,0.477510223,0.863758044,2809,7.340857788,0.696843204,0.286240786,177860,-7886604.277,49224.88281,-741.9486694,96.81047821,-74.51915741,-8.414056778,19.9390583,-7.691882133,-1.46400106,5812286.5,1648.801514,-1805.057739,-13.27114296,0.207510233,-0.047272053,0.008555681,0.010656197,0.00323406,0.00202695,0.000203482,3.50E-09,-9.2994,-15.1234,0.614902,1.62628,5.82399,-12.2114,-5.82399,3.51059,15.05961
285,311,579,752,651,453,1311,3614,0.777231374,0.655519927,1.975378078,1.165703749,0.467614213,0.874638953,3161,7.977924945,0.717272511,0.334451902,201620,-9987531.608,49494.64844,-1043.569092,133.7408905,-56.45637512,-64.65031433,26.44817924,3.381227255,-5.243637085,7913185,22202.91211,13203.79199,-6.976932526,1.593512297,-0.13948451,0.012125317,0.018366469,-0.006199623,0.006188034,0.000275594,2.54E-09,-9.71722,-14.6954,0.661241,1.51231,4.9782,-12.2063,-4.9782,4.02468,37.74375
