S_No,Latitude,Longitude,Species,AGB(kg/100 sq.m),BGB(kg/100 sq.m),AGB(Mg/ha),BGB(Mg/ha),AGB (kg/9 sq.m),BGB (kg/9 sq.m)
1,11.429158,79.798414,Avicennia,762.62,383.134,76.262,38.3134,68.6358,34.48206
2,11.429206,79.798367,"Rhizophora, Avicennia",1497.129,765.316,149.7129,76.5316,134.74161,68.87844
3,11.429061,79.798447,Avicennia,843.581,443.761,84.3581,44.3761,75.92229,39.93849
4,11.429733,79.798636,Avicennia,779.416,413.659,77.9416,41.3659,70.14744,37.22931
5,11.429064,79.798211,"Avicennia, Rhizophora",1252.056,626.587,125.2056,62.6587,112.68504,56.39283
6,11.429044,79.798036,Avicennia,1210.927,583.551,121.0927,58.3551,108.98343,52.51959
7,11.429042,79.797783,Avicennia,1439.366,652.472,143.9366,65.2472,129.54294,58.72248
8,11.429561,79.794386,"Avicennia,E.Agallocha,C.Tagal, Bruguiera, Rhizophora",2739.26,1164.729,273.926,116.4729,246.5334,104.82561
9,11.429586,79.794056,Avicennia,1690.313,753.129,169.0313,75.3129,152.12817,67.78161
10,11.428622,79.793989,Avicennia,1140.55,488.211,114.055,48.8211,102.6495,43.93899
11,11.427086,79.781442,Avicennia,167.329,95.911,16.7329,9.5911,15.05961,8.63199
12,11.426161,79.779694,"Avicennia, Rhizophora",419.375,217.725,41.9375,21.7725,37.74375,19.59525
13,11.431747,79.793089,"Rhizophora, Avicennia",743.752,350.149,74.3752,35.0149,66.93768,31.51341
14,11.434211,79.794578,"Avicennia, Rhizophora",3314.542,1326.366,331.4542,132.6366,298.30878,119.37294
15,11.437008,79.795294,Avicennia,1126.004,508.702,112.6004,50.8702,101.34036,45.78318
16,11.439153,79.7962,Avicennia,643.019,290.137,64.3019,29.0137,57.87171,26.11233
17,11.437353,79.79625,Avicennia,1554.798,690.212,155.4798,69.0212,139.93182,62.11908
18,11.437753,79.797328,"Rhizophora, Avicennia",2801.508,1181.134,280.1508,118.1134,252.13572,106.30206
19,11.42495,79.79415,Avicennia,2269.784,902.583,226.9784,90.2583,204.28056,81.23247
20,11.427247,79.792203,"Avicennia, Rhizophora",1879.77,810.751,187.977,81.0751,169.1793,72.96759
21,11.435294,79.791894,Avicennia,737.625,361.794,73.7625,36.1794,66.38625,32.56146
22,11.444956,79.798867,"Avicennia, Rhizophora",647.751,300.578,64.7751,30.0578,58.29759,27.05202
23,11.440542,79.799392,Avicennia,601.292,293.284,60.1292,29.3284,54.11628,26.39556
24,11.439131,79.799225,Avicennia,1432.474,633.288,143.2474,63.3288,128.92266,56.99592
25,11.438628,79.798897,Avicennia,790.773,384.228,79.0773,38.4228,71.16957,34.58052
26,11.432758,79.794272,Avicennia,1232.487,563.249,123.2487,56.3249,110.92383,50.69241
27,11.431589,79.796344,Avicennia,333.075,159.731,33.3075,15.9731,29.97675,14.37579
28,11.431428,79.800031,"Rhizophora, Avicennia",424.828,215.981,42.4828,21.5981,38.23452,19.43829
29,11.429808,79.802628,Avicennia,394.776,203.612,39.4776,20.3612,35.52984,18.32508
30,11.430714,79.802425,Avicennia,1735.985,742.069,173.5985,74.2069,156.23865,66.78621
31,11.430569,79.803844,"Avicennia, Rhizophora",683.352,333.592,68.3352,33.3592,61.50168,30.02328
32,11.431439,79.803425,Avicennia,584.463,291.554,58.4463,29.1554,52.60167,26.23986
33,11.431442,79.803428,Avicennia,303.47,166.579,30.347,16.6579,27.3123,14.99211
34,11.424975,79.801508,Avicennia,301.777,158.709,30.1777,15.8709,27.15993,14.28381
35,11.422172,79.803939,Avicennia,200.582,103.737,20.0582,10.3737,18.05238,9.33633
36,11.420058,79.804883,"Rhizophora, Avicennia",896.69,427.987,89.669,42.7987,80.7021,38.51883
37,11.419531,79.803136,Avicennia,289.576,134 .296,28.9576,13.4296,26.06184,12.08664
38,11.419936,79.8009,Avicennia,251.033,130.977,25.1033,13.0977,22.59297,11.78793
39,11.419872,79.802028,Avicennia,244.624,133.686,24.4624,13.3686,22.01616,12.03174
40,11.421261,79.801408,Avicennia,506.55,254.928,50.655,25.4928,45.5895,22.94352
41,11.42295,79.800075,Avicennia,542.889,278.544,54.2889,27.8544,48.86001,25.06896
42,11.424397,79.799811,Avicennia,243.411,133.575,24.3411,13.3575,21.90699,12.02175
43,11.426961,79.798106,Avicennia,275.963,150.974,27.5963,15.0974,24.83667,13.58766
44,11.426969,79.791408,"Avicennia, Rhizophora",2487.558,1082.359,248.7558,108.2359,223.88022,97.41231
45,11.426653,79.790089,Avicennia,377.134,192.175,37.7134,19.2175,33.94206,17.29575
46,11.428761,79.793869,Avicennia,2271.725,956.486,227.1725,95.6486,204.45525,86.08374
47,11.418331,79.80015,Avicennia,146.719,85.671,14.6719,8.5671,13.20471,7.71039
48,11.4317,79.801583,Avicennia,76.799,44.866,7.6799,4.4866,6.91191,4.03794
49,11.418783,79.799556,Avicennia,77.314,46.756,7.7314,4.6756,6.95826,4.20804
50,11.4146,79.800353,Avicennia,223.831,124.609,22.3831,12.4609,20.14479,11.21481
51,11.415089,79.803117,Avicennia,77.445,46.246,7.7445,4.6246,6.97005,4.16214
52,11.411939,79.805589,Avicennia,74.38,43.304,7.438,4.3304,6.6942,3.89736
53,11.423833,79.793344,Avicennia,791.081,361.814,79.1081,36.1814,71.19729,32.56326
54,11.423231,79.792644,Avicennia,220.876,124.401,22.0876,12.4401,19.87884,11.19609
55,11.429078,79.791,"Avicennia, Rhizophora",671.604,332.106,67.1604,33.2106,60.44436,29.88954
56,11.429911,79.790825,Avicennia,109.604,61.697,10.9604,6.1697,9.86436,5.55273
57,11.445325,79.800369,"Avicennia, Rhizophora",264.991,139.785,26.4991,13.9785,23.84919,12.58065
58,11.444303,79.802144,Avicennia,134.237,75.865,13.4237,7.5865,12.08133,6.82785
59,11.442436,79.800094,Avicennia,56.611,34.906,5.6611,3.4906,5.09499,3.14154
60,11.442097,79.799972,Avicennia,177.522,97.536,17.7522,9.7536,15.97698,8.77824
61,11.441075,79.801164,Avicennia,251.814,137.597,25.1814,13.7597,22.66326,12.38373
62,11.441681,79.802089,Avicennia,70.842,44.526,7.0842,4.4526,6.37578,4.00734
63,11.44025,79.803594,"Avicennia, Rhizophora",186.972,104.759,18.6972,10.4759,16.82748,9.42831
64,11.433044,79.805772,Avicennia,196.511,109.399,19.6511,10.9399,17.68599,9.84591
65,11.426917,79.783703,Avicennia,855.32,392.638,85.532,39.2638,76.9788,35.33742
66,11.426489,79.782836,Avicennia,464.132,231.957,46.4132,23.1957,41.77188,20.87613
67,11.424461,79.780597,Avicennia,213.651,118.946,21.3651,11.8946,19.22859,10.70514
68,11.424858,79.779386,Avicennia,486.055,233.623,48.6055,23.3623,43.74495,21.02607
69,11.418111,79.785233,Avicennia,84.515,48.197,8.4515,4.8197,7.60635,4.33773
70,11.426514,79.806742,Avicennia,522.724,246.364,52.2724,24.6364,47.04516,22.17276
71,11.417481,79.796803,Avicennia,318.548,162.576,31.8548,16.2576,28.66932,14.63184
72,11.41815,79.793331,Avicennia,466.734,226.659,46.6734,22.6659,42.00606,20.39931
73,11.4444,79.794153,Avicennia,74.196,43.807,7.4196,4.3807,6.67764,3.94263
74,11.438186,79.786992,Avicennia,163.596,92.274,16.3596,9.2274,14.72364,8.30466
